I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-19, 0, 19, 9, -19, 9, -9, -39, -1220, -546, -346, 0, 
-14, 4, 19, 4, -17, 12, -14, -24, -1195, -546, -336, 0, 
-4, 14, 19, -4, -12, 17, -14, -4, -1166, -541, -326, 0, 
-4, 14, 19, -4, -12, 17, -19, 4, -1146, -531, -322, 0, 
-4, 14, 19, -4, -12, 17, -19, 24, -1127, -522, -317, 4, 
-9, 14, 24, -2, -17, 19, -24, 24, -1117, -522, -322, 4, 
-4, 19, 24, -7, -14, 21, -24, 29, -1102, -517, -317, 4, 
0, 19, 19, -9, -9, 19, -24, 39, -1088, -517, -326, 0, 
4, 24, 19, -14, -7, 21, -24, 48, -1073, -512, -326, 0, 
9, 24, 14, -17, -2, 19, -24, 53, -1068, -507, -326, 0, 
9, 24, 14, -17, -2, 19, -24, 58, -1054, -502, -322, 4, 
9, 24, 14, -17, -2, 19, -24, 63, -1049, -502, -322, 4, 
9, 24, 14, -17, -2, 19, -24, 63, -1039, -497, -322, 4, 
9, 24, 14, -17, -2, 19, -24, 63, -1039, -497, -322, 4, 
9, 24, 14, -17, -2, 19, -24, 63, -1029, -497, -317, 4, 
14, 24, 9, -19, 2, 17, -24, 63, -1029, -497, -317, 4, 
19, 29, 9, -24, 4, 19, -19, 68, -1024, -492, -312, 4, 
14, 34, 19, -24, -2, 26, -19, 73, -1024, -488, -317, 4, 
14, 39, 24, -26, -4, 31, -19, 78, -1010, -478, -317, 4, 
19, 39, 19, -29, 0, 29, -24, 82, -1005, -478, -317, 4, 
24, 39, 14, -31, 4, 26, -24, 82, -995, -478, -317, 4, 
24, 34, 9, -29, 7, 21, -24, 82, -990, -478, -317, 4, 
24, 34, 9, -29, 7, 21, -24, 82, -980, -473, -317, 4, 
19, 34, 14, -26, 2, 24, -24, 82, -980, -473, -317, 0, 
24, 34, 9, -29, 7, 21, -24, 82, -971, -473, -317, 0, 
19, 29, 9, -24, 4, 19, -24, 78, -966, -468, -312, 0, 
19, 29, 9, -24, 4, 19, -29, 78, -966, -468, -312, 0, 
19, 29, 9, -24, 4, 19, -29, 78, -961, -468, -312, 0, 
19, 29, 9, -24, 4, 19, -29, 78, -956, -468, -312, 0, 
19, 29, 9, -24, 4, 19, -24, 78, -956, -468, -312, 0, 
