I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-117, -92, 24, 104, -70, -34, 136, -4, 14, -4, -14, -24, 
-117, -92, 24, 104, -70, -34, 141, -4, 14, -4, -9, -24, 
-117, -82, 34, 100, -75, -24, 146, 0, 14, -9, -9, -14, 
-117, -78, 39, 97, -78, -19, 146, 0, 19, -14, -9, -9, 
-122, -73, 48, 97, -85, -12, 151, 0, 24, -9, -9, -9, 
-126, -73, 53, 100, -90, -9, 151, 4, 24, -9, -4, -9, 
-122, -73, 48, 97, -85, -12, 151, 4, 24, -4, -4, -4, 
-122, -68, 53, 95, -87, -7, 146, 9, 19, -4, -4, -4, 
-117, -63, 53, 90, -85, -4, 151, 14, 29, 0, -4, -4, 
-112, -63, 48, 87, -80, -7, 151, 14, 34, 0, 0, 0, 
-112, -58, 53, 85, -82, -2, 156, 19, 39, 0, 0, 0, 
-112, -58, 53, 85, -82, -2, 156, 19, 43, 0, 4, 0, 
-112, -58, 53, 85, -82, -2, 156, 19, 43, 0, 4, -4, 
-112, -53, 58, 82, -85, 2, 161, 19, 48, 0, 4, -9, 
-112, -58, 53, 85, -82, -2, 161, 24, 48, 4, -4, -14, 
-107, -53, 53, 80, -80, 0, 165, 29, 58, 4, -9, -14, 
-107, -53, 53, 80, -80, 0, 165, 29, 63, 4, -9, -14, 
-102, -48, 53, 75, -78, 2, 170, 39, 68, 9, -4, -14, 
-97, -43, 53, 70, -75, 4, 170, 43, 68, 9, -4, -9, 
-97, -43, 53, 70, -75, 4, 180, 48, 73, 9, -4, 0, 
-92, -34, 58, 63, -75, 12, 185, 53, 73, 14, -4, 0, 
-87, -24, 63, 56, -75, 19, 185, 58, 82, 19, -4, 0, 
-87, -19, 68, 53, -78, 24, 195, 63, 82, 19, -4, 0, 
-82, -14, 68, 48, -75, 26, 195, 73, 82, 24, -4, 0, 
-78, -19, 58, 48, -68, 19, 200, 78, 92, 29, 4, 0, 
-73, -19, 53, 46, -63, 17, 204, 82, 92, 29, 14, 0, 
-68, -19, 48, 43, -58, 14, 209, 87, 97, 29, 14, 4, 
-63, -14, 48, 39, -56, 17, 209, 92, 97, 29, 14, 4, 
-58, -19, 39, 39, -48, 9, 214, 97, 92, 29, 9, -9, 
-48, -19, 29, 34, -39, 4, 214, 102, 92, 34, 4, -14, 
-43, -19, 24, 31, -34, 2, 204, 102, 92, 34, 4, -9, 
-39, -14, 24, 26, -31, 4, 204, 102, 92, 34, 4, -4, 
-29, 4, 34, 12, -31, 19, 200, 112, 92, 34, 4, -4, 
-24, 14, 39, 4, -31, 26, 200, 112, 87, 34, 4, -4, 
-4, 14, 19, -4, -12, 17, 190, 117, 87, 34, 4, -4, 
0, 14, 14, -7, -7, 14, 180, 117, 78, 34, 9, -4, 
4, 9, 4, -7, 0, 7, 175, 117, 78, 29, 9, 4, 
9, 4, -4, -7, 7, 0, 170, 112, 68, 24, 9, 9, 
19, 4, -14, -12, 17, -4, 170, 112, 63, 24, 9, 9, 
29, 9, -19, -19, 24, -4, 161, 112, 58, 24, 14, 9, 
34, 9, -24, -21, 29, -7, 151, 117, 58, 24, 14, 14, 
43, 9, -34, -26, 39, -12, 141, 117, 48, 24, 14, 14, 
53, 14, -39, -34, 46, -12, 136, 117, 48, 24, 14, 14, 
63, 14, -48, -39, 56, -17, 126, 117, 43, 19, 14, 14, 
73, 14, -58, -43, 65, -21, 117, 117, 39, 19, 14, 14, 
82, 14, -68, -48, 75, -26, 107, 117, 34, 19, 19, 19, 
87, 9, -78, -48, 82, -34, 97, 107, 24, 19, 19, 19, 
97, 9, -87, -53, 92, -39, 82, 102, 14, 19, 19, 19, 
102, 4, -97, -53, 100, -46, 73, 102, 9, 19, 14, 19, 
107, 4, -102, -56, 104, -48, 53, 102, 9, 19, 14, 14, 
126, 4, -122, -65, 124, -58, 43, 102, 9, 19, 14, 19, 
136, 14, -122, -75, 129, -53, 29, 102, 9, 24, 19, 19, 
146, 19, -126, -82, 136, -53, 19, 107, 9, 24, 24, 29, 
146, 24, -122, -85, 134, -48, 4, 107, 9, 29, 34, 34, 
156, 29, -126, -92, 141, -48, -4, 97, 9, 34, 34, 34, 
156, 29, -126, -92, 141, -48, -19, 97, 9, 34, 39, 34, 
156, 34, -122, -95, 139, -43, -39, 92, 9, 34, 34, 34, 
156, 34, -122, -95, 139, -43, -48, 87, 0, 34, 34, 39, 
156, 39, -117, -97, 136, -39, -58, 73, 0, 29, 34, 39, 
151, 39, -112, -95, 131, -36, -63, 63, 4, 34, 34, 48, 
141, 39, -102, -90, 122, -31, -63, 53, 0, 29, 39, 43, 
122, 39, -82, -80, 102, -21, -68, 48, -4, 24, 34, 39, 
112, 39, -73, -75, 92, -17, -68, 48, -4, 19, 34, 39, 
107, 39, -68, -73, 87, -14, -68, 34, -9, 9, 34, 34, 
92, 39, -53, -65, 73, -7, -68, 29, -14, 9, 29, 34, 
78, 34, -43, -56, 61, -4, -68, 19, -14, 4, 29, 34, 
68, 34, -34, -51, 51, 0, -68, 19, -14, 0, 29, 29, 
53, 29, -24, -41, 39, 2, -68, 4, -14, 0, 24, 29, 
43, 29, -14, -36, 29, 7, -68, 4, -14, -4, 14, 29, 
34, 19, -14, -26, 24, 2, -68, -4, -14, -4, 9, 19, 
29, 19, -9, -24, 19, 4, -63, -9, -14, -4, 4, 19, 
24, 14, -9, -19, 17, 2, -63, -14, -14, -4, 0, 14, 
14, 9, -4, -12, 9, 2, -53, -9, -9, -4, 0, 9, 
9, 4, -4, -7, 7, 0, -53, -9, -4, -4, -4, 4, 
4, 0, -4, -2, 4, -2, -43, -9, -4, 0, -4, 4, 
4, 0, -4, -2, 4, -2, -39, -9, 0, 0, -4, 4, 
0, 0, 0, 0, 0, 0, -39, -9, 0, 0, -4, 9, 
-4, -4, 0, 4, -2, -2, -39, -14, 4, 0, -4, 9, 
-9, 0, 9, 4, -9, 4, -34, -14, 4, -4, -4, 9, 
-14, 4, 19, 4, -17, 12, -34, -14, 4, -9, -4, 9, 
-14, 4, 19, 4, -17, 12, -29, -14, 9, -9, 0, 4, 
-14, 4, 19, 4, -17, 12, -29, -14, 9, -9, 0, 4, 
-14, 4, 19, 4, -17, 12, -29, -9, 9, -9, 0, 4, 
-24, 4, 29, 9, -26, 17, -24, -4, 9, -9, -4, 4, 
-24, -4, 19, 14, -21, 7, -24, -4, 9, -9, -4, 0, 
-24, -9, 14, 17, -19, 2, -24, -4, 9, -9, -4, 0, 
-34, -9, 24, 21, -29, 7, -19, -4, 9, -9, -4, 4, 
-34, -14, 19, 24, -26, 2, -19, -4, 9, -9, -4, 4, 
-34, -14, 19, 24, -26, 2, -19, -9, 9, -9, -4, 0, 
-34, -9, 24, 21, -29, 7, -24, -14, 9, -9, -4, -4, 
-39, -4, 34, 21, -36, 14, -24, -14, 9, -9, -4, -4, 
-43, -4, 39, 24, -41, 17, -24, -14, 9, -9, -4, -9, 
-43, -4, 39, 24, -41, 17, -24, -14, 9, -9, -4, -9, 
-43, -4, 39, 24, -41, 17, -19, -14, 4, -9, -4, -9, 
-43, 0, 43, 21, -43, 21, -19, -14, 4, -9, -4, -4, 
-43, 0, 43, 21, -43, 21, -19, -14, 4, -9, -4, -4, 
-39, 0, 39, 19, -39, 19, -14, -14, 4, -9, -4, -4, 
-39, -4, 34, 21, -36, 14, -9, -14, 4, -9, -4, -4, 
-39, -4, 34, 21, -36, 14, -9, -14, 4, -9, -4, -4, 
-39, -4, 34, 21, -36, 14, -9, -14, 4, -9, -4, -4, 
-39, -4, 34, 21, -36, 14, -9, -14, 4, -4, -4, -4, 
-34, -4, 29, 19, -31, 12, -9, -14, 0, -4, -4, -4, 
-29, 0, 29, 14, -29, 14, -9, -14, 0, -4, 0, -4, 
-29, 0, 29, 14, -29, 14, -9, -14, 0, -4, 0, -4, 
-24, 4, 29, 9, -26, 17, -14, -14, 0, -4, 0, -9, 
-24, 0, 24, 12, -24, 12, -19, -19, 0, -4, 0, -14, 
-24, 0, 24, 12, -24, 12, -19, -19, -4, -4, 0, -14, 
